id,budget,revenue,release_year,original_title,vote_count,keywords
335970,0,0,2015,Joe Dirt 2: Beautiful Loser,23,not_novel
366142,0,0,2015,Minions: The Competition,16,not_novel
310121,0,7449681,2015,I'll See You in My Dreams,39,not_novel
324308,0,494506,2015,Steve Jobs: The Man in the Machine,110,not_novel
326923,0,0,2015,Babysitter's Black Book,18,not_novel
356842,0,0,2015,The Ones Below,33,not_novel
339530,0,0,2015,Tremors 5: Bloodlines,47,not_novel
331190,2000000,2801508,2015,Captive,55,not_novel
395883,0,0,2015,Andron,24,not_novel
356300,0,0,2015,How to Plan an Orgy in a Small Town,17,not_novel
218784,0,70958,2015,Freaks of Nature,78,not_novel
310137,0,0,2015,Reversal,54,not_novel
342917,0,0,2015,Batman Unlimited: Monster Mayhem,30,not_novel
296130,0,0,2015,Harbinger Down,32,not_novel
327418,0,0,2015,Batman Unlimited: Animal Instincts,39,not_novel
328869,0,0,2015,Meadowland,17,not_novel
329829,0,0,2015,The Girl King,12,not_novel
330544,0,0,2015,Bessie,21,not_novel
299551,0,0,2015,The Atticus Institute,92,not_novel
207270,0,0,2015,The Hoarder,24,not_novel
318279,0,2334228,2015,Meru,42,not_novel
284286,0,3447633,2015,Learning to Drive,44,not_novel
340816,0,0,2015,Christmas Eve,11,not_novel
206197,0,0,2015,The Sisterhood of Night,25,not_novel
331446,0,0,2015,Sharknado 3: Oh Hell No!,68,not_novel
351901,0,0,2015,12 Rounds 3: Lockdown,18,not_novel
357681,0,0,2015,Hitting the Apex,14,not_novel
333657,0,4444,2015,Club Life,12,not_novel
336845,0,0,2015,Cleveland Abduction,33,not_novel
343795,5000000,4842699,2015,90 Minutes in Heaven,24,not_novel
294562,0,0,2015,Lavalantula,16,not_novel
306197,0,0,2015,Unexpected,22,not_novel
297556,3500000,0,2015,Justice League: Throne of Atlantis,142,not_novel
316885,0,0,2015,Bridgend,10,not_novel
228973,0,0,2015,Backcountry,75,not_novel
323967,700000,0,2015,Walter,12,not_novel
359305,0,0,2015,An Inspector Calls,16,not_novel
329004,0,0,2015,The Survivalist,44,not_novel
330127,0,0,2015,Back in Time,69,not_novel
323694,0,0,2015,Nina Forever,27,not_novel
334028,0,0,2015,Some Kind Of Hate,19,not_novel
354924,1000000,0,2015,The Dead Room,16,not_novel
253406,0,0,2015,Ten Thousand Saints,28,not_novel
291865,0,0,2015,From the Dark,22,not_novel
334531,20000000,0,2015,My All American,19,not_novel
324803,0,0,2015,Hangman,14,not_novel
309304,600000,7087452,2015,Grandma,81,not_novel
339342,0,0,2015,Anarchy Parlor,15,not_novel
306966,0,0,2015,Summer Camp,16,not_novel
226458,0,0,2015,Backmask,46,not_novel
339148,0,0,2015,Already Tomorrow in Hong Kong,23,not_novel
340968,0,0,2015,Show Me a Hero,32,not_novel
347754,0,0,2015,Curve,40,not_novel
317144,0,0,2015,Cyberbully,73,not_novel
338928,0,2642899,2015,He Named Me Malala,36,not_novel
291189,0,0,2015,The Driftless Area,12,not_novel
309425,0,0,2015,Do You Believe?,30,not_novel
287689,0,0,2015,7 Days in Hell,87,not_novel
325189,0,0,2015,Teen Beach 2,62,not_novel
298582,1500000,0,2015,Full Out,15,not_novel
301228,1500000,0,2015,Narcopolis,20,not_novel
343934,0,0,2015,Staten Island Summer,51,not_novel
282313,0,0,2015,The Reconstruction of William Zero,14,not_novel
300542,0,0,2015,Queen of Earth,33,not_novel
318044,0,0,2015,"What Happened, Miss Simone?",77,not_novel
316715,0,0,2015,The Eichmann Show,29,not_novel
279144,0,0,2015,"The Death of ""Superman Lives"": What Happened?",33,not_novel
358895,0,30400,2015,Being Charlie,12,not_novel
323370,0,0,2015,The Diabolical,36,not_novel
337958,0,0,2015,Last Cab to Darwin,11,not_novel
333674,0,0,2015,Intruders,77,not_novel
301728,0,0,2015,Infini,90,not_novel
366018,0,0,2015,A Christmas Melody,12,not_novel
256030,0,0,2015,Muck,21,not_novel
356149,0,0,2015,Robert the Doll,17,not_novel
300666,0,0,2015,Bravetown,42,not_novel
373558,0,0,2015,Taylor Swift: The 1989 World Tour - Live,15,not_novel
329205,0,0,2015,Ghoul,18,not_novel
321769,0,0,2015,Deep Web,47,not_novel
251471,650000,0,2015,A LEGO Brickumentary,49,not_novel
174340,0,0,2015,Richard Pryor: Omit the Logic,14,not_novel
309298,0,0,2015,Don Verdean,26,not_novel
285840,0,0,2015,The Editor,18,not_novel
321109,0,0,2015,Bitter Lake,19,not_novel
341886,0,0,2015,June,14,not_novel
311615,0,0,2015,Smosh: The Movie,67,not_novel
333873,0,0,2015,Keepers of the Covenant: Making Exodus: Gods and Kings,14,not_novel
293941,0,0,2015,The Quiet Hour,11,not_novel
360203,0,0,2015,Lost in the Sun,31,not_novel
294132,0,104507,2015,Results,32,not_novel
301629,0,0,2015,Addicted to Fresno,14,not_novel
331592,0,0,2015,Listening,18,not_novel
342464,0,0,2015,Jack of the Red Hearts,13,not_novel
316410,0,0,2015,Bound,21,not_novel
106845,9500000,0,2015,Re-Kill,17,not_novel
323966,0,0,2015,A Hitman in London,10,not_novel
354857,3000000,0,2015,Regular Show: The Movie,27,not_novel
333653,0,0,2015,If There Be Thorns,11,not_novel
75861,3400000,0,2015,To Write Love on Her Arms,32,not_novel
323272,3000000,67790117,2015,War Room,57,not_novel
343921,0,0,2015,A Deadly Adoption,25,not_novel
361671,0,0,2015,Ellis,15,not_novel
346494,0,0,2015,Coconut Hero,10,not_novel
321974,0,0,2015,Janis: Little Girl Blue,31,not_novel
359255,0,0,2015,The Inhabitants,10,not_novel
355178,0,0,2015,Amy Schumer: Live at the Apollo,17,not_novel
310491,0,0,2015,Glassland,24,not_novel
319096,0,0,2015,Whitney,18,not_novel
360341,0,0,2015,Keith Richards: Under the Influence,13,not_novel
329556,1000000,0,2015,Landmine Goes Click,13,not_novel
241927,0,0,2015,Hellions,30,not_novel
321668,0,0,2015,Strange Blood,22,not_novel
315024,0,0,2015,Jurassic City,13,not_novel
323674,0,0,2015,6 Years,182,not_novel
324253,0,0,2015,All Things Must Pass,22,not_novel
395560,1300000,0,2015,Capsule,11,not_novel
308084,0,0,2015,Tangerine,102,not_novel
268725,0,0,2015,Nightlight,19,not_novel
308361,0,0,2015,"Stockholm, Pennsylvania",14,not_novel
327029,0,0,2015,Power/Rangers,93,not_novel
249916,0,0,2015,Appropriate Behavior,18,not_novel
339065,0,0,2015,The True Cost,39,not_novel
244563,0,0,2015,"Kumiko, the Treasure Hunter",65,not_novel
325113,0,0,2015,A Girl Like Her,49,not_novel
320996,0,0,2015,Iliza Shlesinger: Freezing Hot,14,not_novel
312797,0,0,2015,The Barber,27,not_novel
333350,0,0,2015,A Faster Horse,12,not_novel
224972,0,0,2015,The Mask You Live In,11,not_novel
295595,0,0,2015,Soaked in Bleach,53,not_novel
371758,0,0,2015,And Then There Were None,37,not_novel
317981,0,0,2015,Bloodsucking Bastards,27,not_novel
333103,0,0,2015,Comedy Central Roast of Justin Bieber,31,not_novel
263105,0,0,2015,Boy Meets Girl,22,not_novel
319076,0,0,2015,Listen to Me Marlon,23,not_novel
278247,0,0,2015,Walt Before Mickey,33,not_novel
355131,0,0,2015,Sense8: Creating the World,12,not_novel
332839,0,0,2015,Big Sky,10,not_novel
367215,0,0,2015,The Fear of 13,19,not_novel
362434,0,0,2015,Ominous,10,not_novel
316761,0,0,2015,Call Me Lucky,14,not_novel
321160,0,0,2015,With This Ring,14,not_novel
347944,0,0,2015,Anguish,17,not_novel
279972,0,0,2015,Digging Up the Marrow,33,not_novel
306952,0,0,2015,Naomi and Ely's No Kiss List,149,not_novel
339060,0,0,2015,The Cokeville Miracle,13,not_novel
362439,0,0,2015,They Found Hell,10,not_novel
355600,0,0,2015,Junun,11,not_novel
308447,0,0,2015,The Flintstones & WWE: Stone Age Smackdown,12,not_novel
348035,0,0,2015,Chris Tucker: Live,19,not_novel
298032,0,0,2015,VANish,17,not_novel
371833,0,0,2015,Harry Price: Ghost Hunter,10,not_novel
365717,0,0,2015,The Audition,10,not_novel
321594,0,0,2015,Louis C.K.: Live at The Comedy Store,35,not_novel
307931,0,1301696,2015,The Wolfpack,82,not_novel
340247,0,0,2015,The Challenger,13,not_novel
326665,0,0,2015,Aziz Ansari: Live at Madison Square Garden,35,not_novel
332706,0,0,2015,Bleeding Heart,19,not_novel
333377,0,44695,2015,Requiem for the American Dream,24,not_novel
275696,0,0,2015,3 Nights in the Desert,11,not_novel
326247,0,0,2015,The House on Pine Street,10,not_novel
333287,0,0,2015,Slow Learners,17,not_novel
318973,0,0,2015,Welcome to Leith,15,not_novel
273899,13500000,187674,2015,Stonewall,14,not_novel
345468,0,0,2015,Contracted: Phase II,20,not_novel
269033,10,0,2015,Penis Boy,15,not_novel
318225,0,0,2015,Tig,25,not_novel
363480,0,0,2015,Christmas Incorporated,13,not_novel
352552,0,0,2015,Hurricane of Fun: The Making of Wet Hot,13,not_novel
343981,0,0,2015,Gascoigne,11,not_novel
319067,1000000,0,2015,Best of Enemies,48,not_novel
332177,0,0,2015,Vendetta,22,not_novel
332479,0,0,2015,Star Wars: TIE Fighter,29,not_novel
347258,0,0,2015,The Subjects,12,not_novel
312793,0,0,2015,Walking with the Dead,18,not_novel
306943,0,0,2015,The Outskirts,12,not_novel
324325,0,0,2015,Twinsters,54,not_novel
321640,0,0,2015,The Jinx: The Life and Deaths of Robert Durst,72,not_novel
309919,2000000,0,2015,The Curse of Downers Grove,11,not_novel
330916,0,0,2015,King Jack,13,not_novel
273599,0,0,2015,The Suicide Theory,17,not_novel
253303,0,13684,2015,Buzzard,11,not_novel
356846,0,0,2015,The Gamechangers,11,not_novel
356335,0,0,2015,Man vs. Snake,10,not_novel
367735,0,0,2015,John Mulaney: The Comeback Kid,19,not_novel
266764,0,0,2015,Meet the Patels,20,not_novel
328346,0,0,2015,I Hate Christian Laettner,10,not_novel
157336,165000000,621752480,2014,Interstellar,6498,not_novel
118340,170000000,773312399,2014,Guardians of the Galaxy,5612,not_novel
100402,170000000,714766572,2014,Captain America: The Winter Soldier,3848,not_novel
245891,20000000,78739897,2014,John Wick,2712,not_novel
131631,125000000,752100229,2014,The Hunger Games: Mockingjay - Part 1,3590,not_novel
122917,250000000,955119788,2014,The Hobbit: The Battle of the Five Armies,3110,not_novel
177572,165000000,652105443,2014,Big Hero 6,4185,not_novel
205596,14000000,233555708,2014,The Imitation Game,3478,not_novel
198663,34000000,348319861,2014,The Maze Runner,3425,based on novel
194662,18000000,103215094,2014,Birdman,2801,not_novel
210577,61000000,369330363,2014,Gone Girl,3720,not_novel
228150,68000000,211817906,2014,Fury,2572,not_novel
181533,127000000,349424282,2014,Night at the Museum: Secret of the Tomb,1111,not_novel
157350,85000000,288747895,2014,Divergent,3038,based on novel
127585,250000000,746000000,2014,X-Men: Days of Future Past,4006,not_novel
240832,40000000,463360063,2014,Lucy,3699,not_novel
98566,125000000,477200000,2014,Teenage Mutant Ninja Turtles,1836,not_novel
225886,40000000,126069509,2014,Sex Tape,1150,not_novel
242582,8500000,38697217,2014,Nightcrawler,2087,not_novel
91314,210000000,245500000,2014,Transformers: Age of Extinction,2161,not_novel
120467,30000000,174600318,2014,The Grand Budapest Hotel,2802,not_novel
244786,3300000,13993093,2014,Whiplash,2372,not_novel
119450,170000000,708200000,2014,Dawn of the Planet of the Apes,2625,not_novel
156022,55000000,192330738,2014,The Equalizer,2100,not_novel
227159,42000000,106645357,2014,Horrible Bosses 2,1033,not_novel
